_,_,util
31,1106,54.00
32,0,0.00
33,0,0.00
34,0,0.00
28,1120,54.69
29,954,46.58
30,1018,49.71
31,1092,53.32
32,0,0.00
33,0,0.00
34,0,0.00
35,0,0.00
36,0,0.00
30,991,48.39
31,1054,51.46
32,0,0.00
33,0,0.00
34,0,0.00
35,0,0.00
36,0,0.00
37,0,0.00
32,0,0.00
33,0,0.00
34,0,0.00
35,0,0.00
36,0,0.00
37,0,0.00
38,0,0.00
32,1196,58.40
33,1569,76.61
34,1870,91.31
35,1748,85.35
36,1789,87.35
37,0,0.00
38,0,0.00
33,1567,76.51
34,1852,90.43
35,1734,84.67
36,1765,86.18
37,0,0.00
38,0,0.00
39,0,0.00
33,1365,66.65
34,1735,84.72
35,1608,78.52
36,1602,78.22
37,0,0.00
38,0,0.00
39,0,0.00
33,1293,63.13
34,1564,76.37
35,1436,70.12
36,1433,69.97
37,1448,70.70
38,0,0.00
39,0,0.00
40,0,0.00
33,1148,56.05
34,1483,72.41
35,1282,62.60
36,1278,62.40
37,1329,64.89
38,0,0.00
39,0,0.00
40,0,0.00
33,1076,52.54
34,1357,66.26
35,1182,57.71
36,1179,57.57
37,1195,58.35
38,0,0.00
39,0,0.00
40,0,0.00
41,0,0.00
35,1182,57.71
36,1161,56.69
37,1190,58.11
38,0,0.00
39,0,0.00
40,0,0.00
41,0,0.00
42,0,0.00
37,1190,58.11
38,0,0.00
39,0,0.00
40,0,0.00
41,0,0.00
42,0,0.00
43,0,0.00
38,0,0.00
39,0,0.00
40,0,0.00
41,0,0.00
42,0,0.00
43,0,0.00
44,0,0.00
38,1116,54.49
39,1427,69.68
40,1773,86.57
41,1717,83.84
42,1699,82.96
43,0,0.00
44,0,0.00
39,1418,69.24
40,1764,86.13
41,1703,83.15
42,1677,81.88
43,0,0.00
44,0,0.00
45,0,0.00
39,1328,64.84
40,1617,78.96
41,1574,76.86
42,1546,75.49
43,0,0.00
44,0,0.00
45,0,0.00
46,0,0.00
39,1211,59.13
40,1437,70.17
41,1394,68.07
42,1397,68.21
43,0,0.00
44,0,0.00
45,0,0.00
46,0,0.00
39,1148,56.05
40,1248,60.94
41,1241,60.60
42,1310,63.96
43,0,0.00
44,0,0.00
45,0,0.00
46,0,0.00
41,1214,59.28
42,1292,63.09
43,0,0.00
44,0,0.00
45,0,0.00
46,0,0.00
47,0,0.00
48,0,0.00
43,0,0.00
44,0,0.00
45,0,0.00
46,0,0.00
47,0,0.00
48,0,0.00
49,0,0.00
43,1200,58.59
44,1279,62.45
45,1524,74.41
46,1940,94.73
47,1799,87.84
48,0,0.00
49,0,0.00
45,1470,71.78
46,1895,92.53
47,1691,82.57
48,0,0.00
49,0,0.00
50,0,0.00
51,0,0.00
45,1340,65.43
46,1616,78.91
47,1592,77.73
48,0,0.00
49,0,0.00
50,0,0.00
51,0,0.00
47,1570,76.66
48,0,0.00
49,0,0.00
50,0,0.00
51,0,0.00
52,0,0.00
53,0,0.00
48,0,0.00
49,0,0.00
50,0,0.00
51,0,0.00
52,0,0.00
53,0,0.00
54,0,0.00
48,1403,68.51
49,1715,83.74
50,1518,74.12
51,1904,92.97
52,1785,87.16
53,0,0.00
54,0,0.00
50,1480,72.27
51,1859,90.77
52,1692,82.62
53,0,0.00
54,0,0.00
55,0,0.00
56,0,0.00
50,1333,65.09
51,1715,83.74
52,1540,75.20
53,0,0.00
54,0,0.00
55,0,0.00
56,0,0.00
50,1225,59.81
51,1589,77.59
52,1357,66.26
53,1367,66.75
54,1652,80.66
55,0,0.00
56,0,0.00
57,0,0.00
50,1108,54.10
51,1438,70.21
52,1245,60.79
53,1267,61.87
54,1418,69.24
55,0,0.00
